ClienteID,Nombre,Email,País,FechaRegistro
1,Cliente 1,cliente1@cardsa.com,Uruguay,2021-01-01
2,Cliente 2,cliente2@cardsa.com,Uruguay,2021-01-08
3,Cliente 3,cliente3@cardsa.com,Argentina,2021-01-15
4,Cliente 4,cliente4@cardsa.com,Chile,2021-01-22
5,Cliente 5,cliente5@cardsa.com,Argentina,2021-01-29
6,Cliente 6,cliente6@cardsa.com,Uruguay,2021-02-05
7,Cliente 7,cliente7@cardsa.com,Argentina,2021-02-12
8,Cliente 8,cliente8@cardsa.com,Argentina,2021-02-19
9,Cliente 9,cliente9@cardsa.com,Argentina,2021-02-26
10,Cliente 10,cliente10@cardsa.com,Chile,2021-03-05
11,Cliente 11,cliente11@cardsa.com,Chile,2021-03-12
12,Cliente 12,cliente12@cardsa.com,Brasil,2021-03-19
13,Cliente 13,cliente13@cardsa.com,Argentina,2021-03-26
14,Cliente 14,cliente14@cardsa.com,Chile,2021-04-02
15,Cliente 15,cliente15@cardsa.com,Chile,2021-04-09
16,Cliente 16,cliente16@cardsa.com,Brasil,2021-04-16
17,Cliente 17,cliente17@cardsa.com,Uruguay,2021-04-23
18,Cliente 18,cliente18@cardsa.com,Uruguay,2021-04-30
19,Cliente 19,cliente19@cardsa.com,Argentina,2021-05-07
20,Cliente 20,cliente20@cardsa.com,Argentina,2021-05-14
21,Cliente 21,cliente21@cardsa.com,Argentina,2021-05-21
22,Cliente 22,cliente22@cardsa.com,Uruguay,2021-05-28
23,Cliente 23,cliente23@cardsa.com,Argentina,2021-06-04
24,Cliente 24,cliente24@cardsa.com,Chile,2021-06-11
25,Cliente 25,cliente25@cardsa.com,Brasil,2021-06-18
26,Cliente 26,cliente26@cardsa.com,Brasil,2021-06-25
27,Cliente 27,cliente27@cardsa.com,Chile,2021-07-02
28,Cliente 28,cliente28@cardsa.com,Brasil,2021-07-09
29,Cliente 29,cliente29@cardsa.com,Brasil,2021-07-16
30,Cliente 30,cliente30@cardsa.com,Uruguay,2021-07-23
31,Cliente 31,cliente31@cardsa.com,Uruguay,2021-07-30
32,Cliente 32,cliente32@cardsa.com,Uruguay,2021-08-06
33,Cliente 33,cliente33@cardsa.com,Argentina,2021-08-13
34,Cliente 34,cliente34@cardsa.com,Uruguay,2021-08-20
35,Cliente 35,cliente35@cardsa.com,Uruguay,2021-08-27
